stage,team_a,team_b,meetings,team_a_win_rate,team_b_win_rate,meeting_prob
Final,Argentina,Spain,508,0.6476377952755905,0.35236220472440943,0.1016
Final,Argentina,Brazil,399,0.6616541353383458,0.3383458646616541,0.0798
Final,Argentina,Mexico,365,0.7424657534246575,0.25753424657534246,0.073
Final,Argentina,Morocco,152,0.7368421052631579,0.2631578947368421,0.0304
Final,Argentina,Germany,149,0.7516778523489933,0.2483221476510067,0.0298
Final,France,Spain,147,0.4557823129251701,0.54421768707483,0.0294
Final,Argentina,Belgium,128,0.78125,0.21875,0.0256
Final,Brazil,Spain,119,0.37815126050420167,0.6218487394957983,0.0238
Final,Brazil,Morocco,104,0.6346153846153846,0.36538461538461536,0.0208
Final,England,Spain,101,0.32673267326732675,0.6732673267326733,0.0202
Final,Brazil,France,98,0.5102040816326531,0.4897959183673469,0.0196
Final,Argentina,Japan,93,0.8817204301075269,0.11827956989247312,0.0186
Final,Argentina,Netherlands,91,0.7692307692307693,0.23076923076923078,0.0182
Final,France,Mexico,91,0.4945054945054945,0.5054945054945055,0.0182
Final,Portugal,Spain,82,0.3780487804878049,0.6219512195121951,0.0164
Final,Morocco,Spain,70,0.18571428571428572,0.8142857142857143,0.014
Final,Brazil,England,69,0.7246376811594203,0.2753623188405797,0.0138
Final,Brazil,Mexico,67,0.4925373134328358,0.5074626865671642,0.0134
Final,Mexico,Spain,58,0.22413793103448276,0.7758620689655172,0.0116
Final,Colombia,Spain,57,0.2631578947368421,0.7368421052631579,0.0114
Final,England,Mexico,54,0.3148148148148148,0.6851851851851852,0.0108
Final,Brazil,Portugal,51,0.6078431372549019,0.39215686274509803,0.0102
Final,Mexico,Morocco,43,0.7674418604651163,0.23255813953488372,0.0086
Final,Japan,Spain,43,0.32558139534883723,0.6744186046511628,0.0086
Final,Mexico,Portugal,41,0.6097560975609756,0.3902439024390244,0.0082
Final,Netherlands,Spain,41,0.2926829268292683,0.7073170731707317,0.0082
Final,France,Morocco,41,0.6341463414634146,0.36585365853658536,0.0082
Final,Belgium,France,41,0.3170731707317073,0.6829268292682927,0.0082
Final,Brazil,Colombia,40,0.675,0.325,0.008
Final,Germany,Spain,40,0.325,0.675,0.008
Final,Colombia,Mexico,37,0.35135135135135137,0.6486486486486487,0.0074
Final,Brazil,Germany,36,0.6666666666666666,0.3333333333333333,0.0072
Final,Argentina,France,35,0.6857142857142857,0.3142857142857143,0.007
Final,Belgium,Spain,35,0.4,0.6,0.007
Final,France,Germany,34,0.7941176470588235,0.20588235294117646,0.0068
Final,Argentina,Ecuador,34,0.8529411764705882,0.14705882352941177,0.0068
Final,Brazil,Japan,31,0.6774193548387096,0.3225806451612903,0.0062
Final,Argentina,Iran,29,0.7586206896551724,0.2413793103448276,0.0058
Final,Argentina,Portugal,29,0.7931034482758621,0.20689655172413793,0.0058
Final,Argentina,England,28,0.6071428571428571,0.39285714285714285,0.0056
