team,stage,prob
Algeria,Round of 32,0.832
Argentina,Round of 32,0.9954
Australia,Round of 32,0.6628
Austria,Round of 32,0.7818
Belgium,Round of 32,0.9884
Bosnia and Herzegovina,Round of 32,0.2526
Brazil,Round of 32,0.9488
Canada,Round of 32,0.9706
Ivory Coast,Round of 32,0.6964
DR Congo,Round of 32,0.3104
Colombia,Round of 32,0.9224
Cape Verde,Round of 32,0.3274
Croatia,Round of 32,0.9416
Curaçao,Round of 32,0.0884
Czech Republic,Round of 32,0.558
Ecuador,Round of 32,0.931
Egypt,Round of 32,0.7054
England,Round of 32,0.9766
Spain,Round of 32,0.99
France,Round of 32,0.979
Germany,Round of 32,0.9816
Ghana,Round of 32,0.1186
Haiti,Round of 32,0.1726
Iran,Round of 32,0.9076
Iraq,Round of 32,0.2732
Jordan,Round of 32,0.1042
Japan,Round of 32,0.9402
South Korea,Round of 32,0.8208
Saudi Arabia,Round of 32,0.4388
Morocco,Round of 32,0.917
Mexico,Round of 32,0.9798
Netherlands,Round of 32,0.9228
Norway,Round of 32,0.572
New Zealand,Round of 32,0.115
Panama,Round of 32,0.6432
Paraguay,Round of 32,0.5612
Portugal,Round of 32,0.9656
Qatar,Round of 32,0.4392
South Africa,Round of 32,0.2932
Scotland,Round of 32,0.6348
Senegal,Round of 32,0.7958
Switzerland,Round of 32,0.9658
Sweden,Round of 32,0.4112
Tunisia,Round of 32,0.3826
Turkey,Round of 32,0.5754
Uruguay,Round of 32,0.8646
United States,Round of 32,0.9048
Uzbekistan,Round of 32,0.4394
Algeria,Round of 16,0.2312
Argentina,Round of 16,0.8228
Australia,Round of 16,0.2926
Austria,Round of 16,0.2128
Belgium,Round of 16,0.7526
Bosnia and Herzegovina,Round of 16,0.0194
Brazil,Round of 16,0.7586
Canada,Round of 16,0.6036
Ivory Coast,Round of 16,0.1996
DR Congo,Round of 16,0.024
Colombia,Round of 16,0.4516
Cape Verde,Round of 16,0.0292
Croatia,Round of 16,0.3524
Curaçao,Round of 16,0.0056
Czech Republic,Round of 16,0.1726
Ecuador,Round of 16,0.5582
Egypt,Round of 16,0.1992
England,Round of 16,0.6326
Spain,Round of 16,0.8696
France,Round of 16,0.743
Germany,Round of 16,0.741
Ghana,Round of 16,0.0056
Haiti,Round of 16,0.0152
Iran,Round of 16,0.4882
Iraq,Round of 16,0.0322
Jordan,Round of 16,0.004
Japan,Round of 16,0.6924
South Korea,Round of 16,0.3228
Saudi Arabia,Round of 16,0.0686
Morocco,Round of 16,0.6344
Mexico,Round of 16,0.7802
Netherlands,Round of 16,0.689
Norway,Round of 16,0.1566
New Zealand,Round of 16,0.01
Panama,Round of 16,0.1068
Paraguay,Round of 16,0.1954
Portugal,Round of 16,0.5166
Qatar,Round of 16,0.0524
South Africa,Round of 16,0.0282
Scotland,Round of 16,0.2014
Senegal,Round of 16,0.3162
Switzerland,Round of 16,0.6258
Sweden,Round of 16,0.093
Tunisia,Round of 16,0.0982
Turkey,Round of 16,0.2322
Uruguay,Round of 16,0.4028
United States,Round of 16,0.51
Uzbekistan,Round of 16,0.0496
Algeria,Quarter-Finals,0.0888
Argentina,Quarter-Finals,0.6608
Australia,Quarter-Finals,0.0946
Austria,Quarter-Finals,0.0728
Belgium,Quarter-Finals,0.3902
Bosnia and Herzegovina,Quarter-Finals,0.0008
Brazil,Quarter-Finals,0.6396
Canada,Quarter-Finals,0.1424
Ivory Coast,Quarter-Finals,0.0564
DR Congo,Quarter-Finals,0.002
Colombia,Quarter-Finals,0.2462
Cape Verde,Quarter-Finals,0.0024
Croatia,Quarter-Finals,0.0872
Curaçao,Quarter-Finals,0.0012
Czech Republic,Quarter-Finals,0.0598
Ecuador,Quarter-Finals,0.2868
Egypt,Quarter-Finals,0.0496
England,Quarter-Finals,0.3194
